Title*Time*Views*User*ID
5 THINGS YOU DIDN’T KNOW ABOUT EVERYDAY OBJECTS*4:52*28,897*pokemon*753592
Steven Universe - Video Chat (Short) (1080p HD)*2:10*290,053*LastWeekTonight*162906
Evolved Forms of the Starter Pokémon Revealed in Pokémon Sun and Pokémon Moon!*3:50*535,078*DisneyMovieTrailers*705644
Police Accountability: Last Week Tonight with John Oliver (HBO)*19:55*3,157,477*TEDEducation*511073
Teaser Trailer: Pirates of the Caribbean: Dead Men Tell No Tales*1:50*8,029,819*solangeknowlesmusic*523055
Can you solve the prisoner boxes riddle? - Yossi Elran*4:53*354,141*NewOnNetflix*280464
SOLANGE - DON&#39;T TOUCH MY HAIR (OFFICIAL VIDEO)*4:25*1,826,258*Google*568434
Lemony Snicket&#39;s A Series of Unfortunate Events | Teaser Trailer [HD] | Netflix*1:29*58,806*LateNightSeth*53549
#madebygoogle*1:57:08*361,071*TheLateLateShow*871711
What Trump&#39;s Taxes Reveal About His Business Record: A Closer Look*9:00*371,070*NBCTheVoice*81189
&#39;The Grand Tour&#39; Grand Racing Quiz*8:00*346,544*ArianaGrandeVevo*613897
WOW: Joe Biden PASSIONATELY Calls Out Donald Trump on His PTSD Comments, Shares Story of Son Beau*3:29*436,313*TheWeekndVEVO*338003
The Voice 2016 Blind Audition - Natasha Bure: &quot;Can&#39;t Help Falling in Love&quot;*1:26*346,817*ChainsmokersVEVO*139744
Cutting OPEN SCARY Body Part SQUISHIES! Glow SLIME Stress BALL STRETCHY FROZEN OLAF! FUN*23:24*27,337*CalvinHarrisVEVO*551768
It Takes A Genius Like Donald Trump To Lose A Billion Dollars*9:18*259,857*FueledByRamen*613439
Ariana Grande - Side To Side ft. Nicki Minaj*3:58*165,336,751*CharliesVlogs*175544
The Weeknd - Starboy ft. Daft Punk*4:34*30,542,356*majorlazer*95997
The Chainsmokers - Closer (Lyric) ft. Halsey*4:22*365,665,017*TheOfficialSkrillex*705551
Calvin Harris - This Is What You Came For (Official Video) ft. Rihanna*4:00*743,558,420*LILUZIVERT*450775
twenty one pilots: Heathens (from Suicide Squad: The Album) [OFFICIAL VIDEO]*3:38*286,747,965*UsherVEVO*861420
Charlie Puth - We Don&#39;t Talk Anymore (feat. Selena Gomez) [Official Video]*3:51*222,738,078*RaeSremmurdVEVO*266343
Major Lazer - Cold Water (feat. Justin Bieber &amp; MØ) (Official Lyric Video)*3:09*301,160,912*DJKhaledVEVO*909463
Skrillex &amp; Rick Ross - Purple Lamborghini [Official Video]*4:22*115,293,425*CMAOfficialVEVO*419860
Lil Uzi Vert - Money Longer*4:01*28,008,234*SiaVEVO*113359
Usher - No Limit ft. Young Thug*3:56*44,850,140*YGVEVO*666621
Rae Sremmurd - Black Beatles ft. Gucci Mane*4:53*7,616,633*lincolnmarkham*55823
DJ Khaled - I Got the Keys ft. Jay Z, Future*4:09*62,384,251*rhettandlink2*946439
Artists Of Then, Now &amp; Forever - Forever Country*4:10*3,846,028*FilmTheorists*866315
Sia - The Greatest*5:52*98,341,088*minutephysics*19126
YG - Why You Always Hatin? ft. Drake, Kamaiyah*4:14*27,971,834*coldfustion*303025
What&#39;s inside a REAL PokeBall?*4:52*3,190,233*DNewsChannel*459593
Will It Burrito? Taste Test*14:57*2,174,995*lifenoggin*215724
Film Theory: Is Miss Peregrine&#39;s BETTER than Hogwarts? (Miss Peregrine&#39;s Home for Peculiar Children)*16:04*1,450,730*schooloflifechannel*386244
Why Doesn&#39;t Time Flow Backwards?*3:25*775,271*Wendoverproductions*308914
How BIG is Amazon? (They Help Power the CIA and Netflix!)*16:28*319,869*TestTubeNetwork*72067
How Can Birds Sleep While They&#39;re Flying?*4:14*83,663*lifenoggin*169716
Is It Possible To Stay Young Forever?*3:21*124,876*vlogbrothers*861309
Are You A Classical Or Romantic Voter?*6:18*76,932*AsapSCIENCE*88323
How Much Would it Cost to Live on the Moon?*9:07*198,473*minuteearth*442035
Do Presidential Debates Sway Voters?*3:38*110,215*lifenoggin*95884
Why Do Soft Noises Make Your Brain Tingle? | The Science Behind ASMR*3:08*222,257*ZeroMediaHD*72313
How do YouTubers Make Money?*3:59*346,697*NewTrailersBuzz*486747
Should You Stop Wearing Tampons?*3:57*891,809*FilmIsNowEU*302983
Which Parts Of The Brain Do What?*3:43*223,691*Paramount*467975
Should We Bring Extinct Animals Back To Life?*2:55*470,629*WarnerBrosPictures*282328
Pirates of the Caribbean: Dead Men Tell No Tales Official Teaser Trailer #1 (2017) Movie HD*2:20*5,965,908*RedLetterMedia*556364
BIRTH OF THE DRAGON Trailer (2016) Bruce Lee Movie*3:26*6,395,402*TrolleySmasher*974909
Avengers Infinity War Part 1 Official Trailer 2018 Comic Con Marvel&#39;s Avengers Мстители Война*1:47*3,935,699*TheEllenShow*34592
SING | Sing for Gold in a new Spot [Family Animated Movie 2016]*6:14*18,869,495*FilmsActuTrailers*767748
Fences Teaser Trailer (2016) - Paramount Pictures*1:51*2,555,497*sonymusicindiaSME*170673
Fantastic Beasts and Where to Find Them - Final Trailer [HD]*2:42*4,969,930*MARVEL*486305
Star Wars: Rogue One (2016) FINAL TRAILER - Felicity Jones Movie HD [F-M]*2:38*1,371,872*FoxMovies*508428
Mr. Plinkett&#39;s The Star Wars Awakens Review*1:45:08*930,493*NewOnNetflix*935475
The Batman: Under the Red Hood - (2018) Movie Trailer (Fan Made)*1:54*2,171,244*BreakingTrail*560119
First Look! &#39;Fantastic Beasts and Where to Find Them&#39; Full Trailer*2:43*1,316,336*rumbleviral*391775
Disney&#39;s MOANA - TRAILER # 3 (2016)*6:08*3,396,647*VetRanch*971837
Channa Mereya -  Ae Dil Hai Mushkil | Karan Johar | Ranbir | Anushka | Aishwarya | Pritam | Arijit*2:32*9,587,127*JunsKitchen*915489
Doctor Strange TV Spot*1:01*932,770*GoProCamera*428155
Miss Peregrine&#39;s Home for Peculiar Children | Official Trailer [HD] | 20th Century FOX*2:34*9,497,022*chrispoole20*242099
Luke Cage | Streets Trailer [HD] | Netflix*2:39*1,157,384*BreakingTrail*700861
STUNG by a COW KILLER!*15:02*22,326,331*simonscat*220028
Dog upset pet store is closed, refuses to leave*1:05*683,560*rumbleviral*72226
Our Most Dramatic Ending EVER!!*11:12*426,632*AssociatedPress*577221
Store Cat Food vs Homemade*2:52*2,100,216*rumbleviral*435852
GoPro Awards: Soaring with Orcas*1:29*231,970*gregbaskwell*195213
How To Keep Your Cat Happy!*3:59*517,471*NationalGeographic*248475
Creepy Desert Creatures!*21:27*5,393,239*XtremeConditioning*796628
Simon&#39;s Cat Logic - Things You Didn&#39;t Know About Ragdolls!*2:51*583,058*CHELMEnoticiasIMPACT*93356
Puppy realizes he&#39;s at dog park, goes absolutely bonkers*0:47*1,533,675*MrTOCASEY*721248
Raw: Panda Cub Trying to Turn Over a Viral Hit*1:09*918,857*TODAYNBC*401443
Cat caught on camera stealing owner&#39;s underwear*1:35*286,087*CorruptionCripples*452642
Case of the Mondays | Off to Work*0:56*238,278*JennaMarbles*702307
Shila The Pom Playing Piano*0:17*222,687*9deuel*628001
Waffle the Kenyan Sand Boa playing with his new toy!*0:40*13,065,295*22cityview*974883
Amazing Footage: Goats Climbing on a Near-Vertical Dam | National Geographic*0:46*820,184*33quadx*804630
11 year old Trump supporter humiliates a CNN anchor*1:56*685,832*kobebryantworld*534843
WWII Survivor Warns of SOCIALISM and GUN CONTROL! (MUST WATCH)*35:06*284,175*RealKingClive*637433
SHOCKING: Unpublished Video JFK Assassination*15:12*10,325,571*GoldenStateWarriors*551029
Must Watch!! Hillary Clinton tried to ban this video*37:38*2,205,115*jimmyballers20*974682
Dana Carvey’s Hilarious Imitations: Donald Trump, Hillary Clinton, More | TODAY*6:00*424,789*nivenivenive*460567
The best speech ever in court? Some say, yes!*11:35*9,732,610*ABCNews*84409
Gary Johnson Is Running His Own Campaign Into The Ground*7:19*1,566,389*ballislife*17695
Hello Young People, It&#39;s Hillary Clinton Again*4:17*1,538,571*youutoobe*891625
Hillary RIGGED Debate - Secretly Signals Moderator Lester Holt*7:19*557,526*TheRealDaytime*688791
Hillary Supporter Loses it on Fox News! - August 2016*8:48*313,816*NextNewsNetwork*544527
